"","OBP","SLG","BA","Playoffs.x","BatAge","Num.Bat","Num.P","WAR","RA.G","ERA","FIP","WHIP","H9","HR9","BB9","SO9","SO.W","LOB","ERAP","SV.G","CG.G","tSho.G","cSho.G","RS.G","win_adj"
"478",0.31,0.389,0.244,0,29.5,44,20,12.1,4.28,3.92,4.13,1.352,9.1,1,3.1,7.2,2.31,6.95679012345679,116,0.209876543209877,0.117283950617284,0.0987654320987654,0.0432098765432099,4.03703703703704,76
"479",0.333,0.432,0.27,1,27.9,42,18,7.7,4,3.52,3.5,1.241,8.4,0.7,2.8,7.6,2.76,6.64814814814815,125,0.283950617283951,0.0864197530864197,0.0555555555555556,0.0185185185185185,4.77160493827161,96
"480",0.35,0.472,0.274,1,31.1,45,23,6.9,5.54,5.14,4.89,1.499,9.8,1.3,3.7,6.4,1.75,7.06134969325153,96,0.269938650306748,0.0797546012269939,0.00613496932515337,0.00613496932515337,5.82208588957055,87.4601226993865
"481",0.359,0.457,0.283,0,28.4,55,23,7.8,5.69,4.98,4.81,1.597,9.9,1.1,4.5,7.2,1.61,8.25925925925926,101,0.228395061728395,0.104938271604938,0.0308641975308642,0.0185185185185185,5.72839506172839,85
"482",0.339,0.431,0.276,0,29.3,52,29,5,5.86,5.3,5.24,1.534,9.7,1.4,4.1,6.6,1.59,7.45962732919255,93,0.236024844720497,0.0745341614906832,0.0496894409937888,0.0186335403726708,4.73291925465838,70.4347826086957
"483",0.32,0.401,0.251,0,29,41,17,5.4,4.76,4.36,4.64,1.369,8.9,1.1,3.4,6.3,1.88,6.96296296296296,99,0.209876543209877,0.0617283950617284,0.0617283950617284,0.0308641975308642,4.76543209876543,76
"484",0.36,0.447,0.281,0,30.5,44,22,6.4,4.9,4.52,4.64,1.468,9.4,1.1,3.8,6.4,1.69,7.58024691358025,105,0.265432098765432,0.0432098765432099,0.0246913580246914,0.00617283950617284,5.54320987654321,85
"485",0.331,0.422,0.256,0,29.3,48,24,7.2,4.77,4.32,4.48,1.412,9,1,3.7,6.8,1.84,7.25308641975309,98,0.320987654320988,0.037037037037037,0.0493827160493827,0.0308641975308642,4.80246913580247,81
"486",0.369,0.475,0.293,1,29.7,44,18,7.5,4.78,4.34,4.38,1.387,9.5,1.1,3,6.4,2.13,6.95031055900621,112,0.285714285714286,0.0807453416149068,0.0559006211180124,0.0186335403726708,5.91304347826087,99.6149068322981
"487",0.355,0.472,0.287,0,30.1,44,21,7.9,5.95,5.59,5.13,1.561,10.1,1.3,3.9,5.9,1.49,7.15432098765432,93,0.209876543209877,0.0308641975308642,0.0246913580246914,0.00617283950617284,5.9320987654321,83
"488",0.323,0.42,0.256,0,27,53,27,3.6,6.81,6.38,5.83,1.733,10.7,1.5,4.9,6,1.22,8.09876543209877,80,0.135802469135802,0.0617283950617284,0.0246913580246914,0.0246913580246914,4.83333333333333,53
"489",0.329,0.393,0.257,0,27.9,46,23,7.9,4.34,3.95,4.1,1.375,8.6,0.7,3.7,6.5,1.76,7.10493827160494,103,0.253086419753086,0.0493827160493827,0.0802469135802469,0.0246913580246914,4.24691358024691,80
"490",0.336,0.397,0.262,0,28.2,43,22,7.5,4.89,4.37,4.21,1.437,9.6,1,3.4,7.2,2.16,7.59876543209877,88,0.216049382716049,0.0802469135802469,0.0246913580246914,0.0185185185185185,4.64814814814815,82
"491",0.332,0.398,0.267,0,27.2,40,19,6.1,4.88,4.55,4.54,1.395,9.7,1.1,2.9,5.7,2.01,6.92546583850932,109,0.217391304347826,0.105590062111801,0.0496894409937888,0.031055900621118,4.63354037267081,75.4658385093168
"492",0.316,0.384,0.252,1,27.9,40,15,5.4,4.02,3.46,3.8,1.304,8.5,0.8,3.3,7.4,2.27,7.23456790123457,112,0.308641975308642,0.037037037037037,0.0555555555555556,0.0246913580246914,4.33950617283951,90
"493",0.353,0.441,0.279,0,27.8,48,24,5.4,5.55,5.14,5.35,1.523,9.8,1.3,3.9,5.3,1.33,7.38271604938272,101,0.259259259259259,0.037037037037037,0.0246913580246914,0.00617283950617284,5.51851851851852,80
"494",0.357,0.425,0.288,0,28.4,38,18,8.6,5.56,5.28,5.24,1.488,9.8,1.5,3.6,6,1.65,7.01234567901235,97,0.191358024691358,0.0802469135802469,0.0308641975308642,0.0185185185185185,5.41358024691358,78
"495",0.327,0.406,0.262,0,27.4,39,18,5.3,4.12,3.78,3.99,1.273,8.4,0.9,3,7.5,2.5,6.95679012345679,115,0.265432098765432,0.0679012345679012,0.0432098765432099,0.0185185185185185,4.57407407407407,88
"496",0.324,0.412,0.27,0,27.2,40,17,8,4.81,4.22,4.42,1.423,9.5,1,3.3,6.2,1.88,7.33950617283951,96,0.253086419753086,0.0617283950617284,0.0617283950617284,0.0185185185185185,4.60493827160494,71
